SCENARIO_ID;ARRIVAL_ID;BEAM;LENGTH;DRAFT;IS_NEW_PANAMAX;IS_PASSENGER;IS_RORO;ARRIVAL_D;ARRIVAL_H;METOCEAN_QUEUE_TIME;BERTH_QUEUE_TIME;CHANNEL_QUEUE_TIME;TOTAL_QUEUE_TIME;METOCEAN_UNDOCK_QUEUE_TIME;CHANNEL_UNDOCK_QUEUE_TIME;TOTAL_UNDOCK_QUEUE_TIME;OPERATION_DURATION;REAL_DOCK_D;REAL_DOCK_H;REAL_UNDOCK_D;REAL_UNDOCK_H;REAL_BERTH;TERMINAL;MARKET_CATEGORY;SIZE_CATEGORY;BERTH;TRANSIT_IN_START_D;TRANSIT_IN_START_H;BERTH_ARRIVAL_D;BERTH_ARRIVAL_H;OPERATION_START_D;OPERATION_START_H;OPERATION_END_D;OPERATION_END_H;BERTH_DEPARTURE_D;BERTH_DEPARTURE_H;TRANSIT_OUT_END_D;TRANSIT_OUT_END_H
S20254;1;32.0;229.07;7.56;0;0;0;-8;03:04;260.17;0.0;1.58;261.75;0.0;0.0;0.0;65.83333333333333;4;11:10;7;09:55;BERÇO ARM 37;AUTORIDADE_PONTA;CGNC;;BERÇO ARM 37;3;00:50;3;01:55;3;01:55;5;19:45;5;19:45;5;20:25
S20254;6;33.0;209.75;11.0;0;0;0;-8;11:24;204.58;12.08;0.0;216.67;0.0;1.17;1.17;17.833333333333332;1;21:00;2;18:05;BERÇO TECON 1.2;SANTOSBR;CGC;;BERÇO TECON 1.2;1;12:05;1;13:00;1;13:00;2;06:50;2;08:00;2;09:10
S20254;15;32.0;189.99;12.74;0;0;0;-7;03:18;380.67;0.0;0.5;381.17;0.0;0.0;0.0;135.83333333333334;10;13:42;16;07:23;BERÇO TERMAG;TERMAG;GSM - I;;BERÇO TERMAG;9;00:30;9;01:20;9;01:20;14;17:10;;;;;;
S20254;30;32.0;225.0;9.0;0;0;0;-6;03:00;165.0;16.75;1.33;183.08;0.0;1.67;1.67;164.66666666666666;1;21:00;8;17:50;BERÇO DPW 4;DPW - CGNC;CGNC;;BERÇO DPW 4;1;18:05;1;19:40;1;19:40;8;16:20;8;18:00;8;19:10
S20254;73;32.3;189.99;6.19;0;0;0;-3;07:00;89.0;0.0;0.0;89.0;0.0;0.5;0.5;65.33333333333333;2;04:42;5;03:14;BERÇO TIPLAM 3;TIPLAM - GSA - E;GSA - E;;BERÇO TIPLAM 2;1;00:00;1;02:30;1;02:30;3;19:50;3;20:20;3;22:15
S20254;81;33.0;180.4;10.28;0;0;0;-3;13:00;83.0;0.0;0.75;83.75;0.0;0.0;0.0;160.41666666666666;1;18:20;8;13:30;BERÇO ARM 30;BRACELL;CGNC;;BERÇO ARM 35P2;1;00:45;1;01:40;1;01:40;7;18:05;7;18:05;7;19:15
S20254;83;32.0;263.23;10.1;0;0;0;-3;13:30;106.5;9.25;0.0;115.75;0.0;0.17;0.17;11.333333333333334;3;12:31;4;06:33;BERÇO DPW 1;DPW - CGC;CGC;;BERÇO DPW 1;2;09:15;2;10:35;2;10:35;2;21:55;2;22:05;2;23:40
S20254;85;33.0;199.9;7.5;0;0;0;-3;16:30;79.5;0.0;5.0;84.5;0.0;0.0;0.0;102.41666666666667;1;07:40;5;23:42;BERÇO VAL;AUTORIDADE_SABOO;CGNC;;BERÇO CS 04;1;05:00;1;06:45;1;06:45;5;13:10;5;13:10;5;14:30
S20254;90;28.0;179.99;8.0;0;0;0;-3;22:48;73.17;17.83;0.0;91.0;0.0;0.0;0.0;73.66666666666667;1;18:05;5;18:18;BERÇO Ageo I;AGEO_TERMINAIS;GL;;BERÇO Ageo I;1;17:50;1;19:35;1;19:35;4;21:15;4;21:15;4;22:35
S20254;91;29.0;175.53;9.94;0;0;0;-2;01:00;191.0;0.0;0.0;191.0;0.0;0.0;0.0;161.91666666666666;7;19:25;14;15:35;BERÇO TIPLAM 1;TIPLAM - GSM - I;GSM - I;;BERÇO TIPLAM 2;6;00:00;6;02:00;6;02:00;12;19:55;;;;;;
S20254;96;37.0;227.92;9.9;0;0;0;-2;12:30;59.5;6.92;0.0;66.42;0.0;0.83;0.83;7.083333333333333;1;03:40;1;18:10;BERÇO TECON 1.2;SANTOSBR;CGC;;BERÇO TECON 1.1;1;06:55;1;08:10;1;08:10;1;15:15;1;16:05;1;16:55
