vessel_id;route_id;start_time;end_time;forward
1;1;0;10;1
1;2;10;15;1
1;3;15;18;1
1;17;18;20;1
1;17;50;56;0
1;3;56;60;0
1;2;60;70;0
1;1;70;75;0
2;0;0;18;0
2;1;18;28;1
2;2;28;33;1
2;3;33;36;1
2;18;36;38;1
2;18;45;50;0
2;3;50;54;0
2;2;54;64;0
2;1;64;68;0
3;0;0;20;0
3;1;20;25;1
3;2;25;30;1
3;3;30;35;1
3;4;35;40;1
3;5;40;45;1
3;6;45;50;1
3;7;50;55;1
3;8;55;60;1
3;9;60;65;1
3;51;65;75;1
3;51;90;105;0
3;9;105;110;0
3;8;110;115;0
3;7;115;120;0
3;6;120;125;0
3;5;125;130;0
3;4;130;135;0
3;3;135;140;0
3;2;140;145;0
3;1;145;155;0
